,t2_towerKills,t1_towerKills,firstInhibitor,t2_inhibitorKills,t1_inhibitorKills,firstTower,firstBaron,t2_dragonKills,t1_dragonKills,t1_baronKills,t2_baronKills,firstDragon
0,5,11,1,0,1,1,1,1,3,2,0,1
1,2,10,1,0,4,1,0,0,2,0,0,1
2,2,8,1,0,1,1,1,1,1,1,0,2
3,0,9,1,0,2,1,1,0,2,1,0,1
4,3,9,1,0,2,1,1,1,3,1,0,1
5,6,8,1,0,1,2,1,3,1,1,0,2
6,2,10,1,0,2,2,1,0,2,1,0,1
7,0,6,0,0,0,1,0,2,0,0,0,2
8,8,0,2,1,0,2,0,2,0,0,0,2
9,8,10,2,3,1,2,2,2,2,0,1,2
10,10,0,2,2,0,2,2,1,1,0,1,2
11,2,10,1,0,1,2,0,2,0,0,0,2
12,3,6,0,0,0,1,1,1,2,1,0,2
13,3,7,1,0,1,2,0,2,1,0,0,1
14,9,8,1,2,1,2,1,2,2,1,0,2
15,0,7,1,0,1,1,0,0,2,0,0,1
16,9,3,2,3,0,2,2,4,1,0,2,2
17,2,11,1,0,6,1,1,0,2,1,0,1
18,11,0,2,3,0,2,0,2,0,0,0,2
19,11,4,2,2,0,2,2,1,3,0,1,1
20,11,5,1,3,1,1,2,2,1,0,1,1
21,9,2,2,1,0,2,2,2,1,0,1,1
22,10,2,2,2,0,2,0,2,0,0,0,2
23,2,11,1,0,3,1,1,0,3,1,0,1
24,11,2,2,3,0,2,0,0,1,0,0,1
25,10,2,2,2,0,2,0,3,0,0,0,2
26,10,10,1,2,3,2,1,3,2,1,1,2
27,5,0,0,0,0,2,0,2,0,0,0,2
28,7,4,2,2,0,2,2,3,1,0,1,2
29,2,10,1,0,3,1,1,1,2,1,0,1
30,9,4,2,1,0,1,2,0,2,0,1,1
31,0,9,1,0,2,1,2,0,2,0,1,1
32,1,10,1,0,2,1,2,1,2,0,1,1
33,7,11,2,1,3,2,2,3,2,1,1,2
34,11,3,2,3,0,1,2,1,3,0,1,1
35,11,1,2,3,0,2,0,1,0,0,0,2
36,10,2,2,2,0,2,0,2,0,0,0,2
37,0,10,1,0,2,1,0,1,2,0,0,1
38,3,10,1,0,2,1,0,0,4,0,0,1
39,0,8,1,0,1,1,0,0,2,0,0,1
40,10,5,2,1,0,1,2,1,3,0,2,1
41,11,0,2,3,0,2,0,1,0,0,0,2
42,4,8,1,0,1,1,1,1,2,1,0,1
43,6,0,2,1,0,2,0,1,0,0,0,2
44,8,6,1,1,3,2,1,1,2,1,1,1
45,2,9,1,0,2,2,0,1,2,0,0,2
46,2,8,1,0,2,2,2,1,1,1,1,2
47,8,2,2,2,0,2,0,2,0,0,0,2
48,9,4,2,2,0,1,2,3,0,0,1,2
49,9,7,1,1,1,2,1,1,2,1,1,1
50,11,5,2,4,1,1,1,1,4,1,1,1
51,1,9,1,0,2,1,0,0,1,0,0,1
52,7,1,2,1,0,2,2,2,0,0,1,2
53,0,11,1,0,4,1,0,0,3,0,0,1
54,7,4,2,1,0,2,1,2,1,1,0,1
55,1,11,1,0,3,1,0,1,1,0,0,2
56,9,1,2,1,0,2,2,2,0,0,1,2
57,0,9,1,0,2,1,1,1,1,1,0,2
58,9,1,2,2,0,2,0,2,0,0,0,2
59,2,7,1,0,1,1,1,0,2,1,0,1
60,1,11,1,0,4,2,1,0,3,1,0,1
61,0,10,1,0,2,1,0,0,2,0,0,1
62,10,0,2,3,0,2,2,3,0,0,1,2
63,8,4,2,1,0,2,0,2,2,0,0,1
64,0,0,0,0,0,0,0,0,0,0,0,0
65,0,4,0,0,0,1,0,0,1,0,0,1
66,2,10,1,0,2,1,0,1,3,0,0,2
67,4,10,1,0,3,1,1,3,2,2,0,2
68,7,1,2,1,0,2,2,2,0,0,1,2
69,1,11,1,0,3,1,1,0,1,1,0,1
70,11,1,2,3,0,2,2,2,0,0,1,2
71,10,4,2,2,0,2,2,4,0,0,1,2
72,1,9,1,0,2,1,1,1,1,1,0,2
73,1,11,1,0,3,1,1,0,3,1,0,1
74,10,6,2,2,0,2,2,3,0,0,1,2
75,2,1,0,0,0,1,0,1,1,0,0,2
76,8,9,2,1,1,2,1,2,3,2,0,1
77,1,4,0,0,0,1,0,0,0,0,0,0
78,10,5,2,1,0,1,1,1,4,1,0,1
79,1,11,1,0,3,1,1,1,3,1,0,1
80,4,5,1,0,1,2,1,0,2,1,0,1
81,1,10,1,0,2,1,1,0,1,1,0,1
82,0,0,0,0,0,0,0,0,0,0,0,0
83,8,0,2,2,0,2,2,3,0,0,1,2
84,1,3,0,0,0,1,0,1,0,0,0,2
85,5,2,2,1,0,2,0,1,1,0,0,1
86,2,7,1,0,1,1,1,2,1,1,0,2
87,0,4,0,0,0,1,0,0,2,0,0,1
