,winner
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,2
9,2
10,2
11,1
12,1
13,1
14,2
15,1
16,2
17,1
18,2
19,2
20,2
21,2
22,2
23,1
24,2
25,2
26,2
27,2
28,2
29,1
30,2
31,1
32,1
33,1
34,2
35,2
36,2
37,1
38,1
39,1
40,2
41,2
42,1
43,2
44,2
45,1
46,1
47,2
48,2
49,2
50,2
51,1
52,2
53,1
54,2
55,1
56,2
57,1
58,2
59,1
60,1
61,1
62,2
63,2
64,2
65,1
66,1
67,1
68,2
69,1
70,2
71,2
72,1
73,1
74,2
75,1
76,1
77,1
78,2
79,1
80,1
81,1
82,1
83,2
84,1
85,2
86,1
87,1
88,2
89,1
90,2
91,1
92,1
93,2
94,2
95,1
96,1
97,1
98,2
99,2
100,1
101,1
102,1
103,2
104,1
105,2
106,1
107,2
108,2
109,1
110,1
111,1
112,1
113,1
114,2
115,1
116,2
117,1
118,2
119,1
120,1
121,2
122,2
123,1
124,2
125,1
126,2
127,1
128,1
129,2
130,2
131,1
132,1
133,1
134,2
135,2
136,2
137,1
138,2
139,1
140,1
141,2
142,2
143,2
144,2
145,2
146,1
147,2
148,1
149,1
150,2
151,2
152,1
153,2
154,2
155,1
156,2
157,1
158,1
159,1
160,1
161,2
162,1
163,1
164,1
165,2
166,1
167,1
168,2
169,1
170,1
171,1
172,2
173,2
174,1
175,2
176,1
177,2
178,1
179,2
180,1
181,2
182,2
183,2
184,1
185,1
186,1
187,1
188,1
189,2
190,1
191,2
192,2
193,1
194,2
195,2
196,1
197,2
198,1
199,1
200,1
201,1
202,1
203,2
204,1
205,2
206,2
207,1
208,2
209,1
210,1
211,1
212,2
213,2
214,2
215,2
216,1
217,1
218,2
219,1
220,2
221,2
222,2
223,2
224,2
225,1
226,1
227,2
228,2
229,1
230,1
231,2
232,1
233,1
234,2
235,1
236,2
237,1
238,2
239,2
240,1
241,2
242,2
243,2
244,2
245,2
246,1
247,2
248,2
249,2
250,2
251,1
252,2
253,2
254,2
255,2
256,2
257,1
258,1
259,1
260,2
261,1
262,1
263,1
264,1
265,1
266,2
267,2
268,2
269,2
270,2
271,2
272,1
273,1
274,2
275,1
276,1
277,2
278,2
279,2
280,1
281,1
282,1
283,1
284,1
285,1
286,2
287,1
288,2
289,2
290,2
291,1
292,1
293,1
294,1
295,2
296,1
297,2
298,1
299,1
300,1
301,2
302,2
303,1
304,1
305,2
306,2
307,1
308,2
309,1
310,1
311,1
312,2
313,1
314,2
315,2
316,2
317,1
318,1
319,1
320,1
321,2
322,1
323,2
324,2
325,2
326,1
327,1
328,1
329,2
330,2
331,1
332,2
333,1
334,2
335,1
336,1
337,2
338,1
339,2
340,2
341,2
342,2
343,2
344,1
345,1
346,1
347,1
348,2
349,2
350,1
351,1
352,2
353,2
354,2
355,1
356,2
357,1
358,2
359,2
360,2
361,2
362,1
363,1
364,2
365,2
366,1
367,2
368,2
369,2
370,1
371,2
372,2
373,1
374,2
375,1
376,1
377,1
378,1
379,1
380,2
381,1
382,1
383,2
384,2
385,2
386,2
387,2
388,2
389,2
390,2
391,1
392,2
393,2
394,1
395,2
396,2
397,2
398,2
399,2
400,1
401,2
402,1
403,1
404,2
405,1
406,2
407,2
408,2
409,2
410,2
411,2
412,1
413,1
414,2
415,1
416,1
417,2
418,2
419,1
420,2
421,1
422,1
423,1
424,1
425,2
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,2
436,2
437,1
438,2
439,2
440,1
441,2
442,2
443,2
444,2
445,1
446,2
447,1
448,1
449,2
450,1
451,1
452,2
453,1
454,2
455,1
456,2
457,2
458,1
459,2
460,2
461,1
462,2
463,1
464,1
465,1
466,2
467,2
468,2
469,2
470,2
471,2
472,1
473,1
474,2
475,2
476,1
477,2
478,2
479,2
480,2
481,1
482,1
483,2
484,2
485,2
486,1
487,2
488,2
489,2
490,1
491,2
492,1
493,2
494,1
495,2
496,1
497,1
498,1
499,1
500,1
501,2
502,2
503,1
504,1
505,1
506,2
507,1
508,2
509,2
510,2
511,1
512,2
513,1
514,1
515,2
516,2
517,1
518,2
519,1
520,1
521,1
522,1
523,2
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,2
532,1
533,2
534,2
535,2
536,2
537,1
538,2
539,2
540,2
541,2
542,1
543,2
544,2
545,2
546,2
547,2
548,2
549,2
550,1
551,2
552,2
553,1
554,2
555,1
556,1
557,1
558,1
559,1
560,1
561,2
562,2
563,2
564,2
565,1
566,2
567,2
568,1
569,2
570,2
571,1
572,2
573,2
574,2
575,1
576,2
577,1
578,1
579,2
580,2
581,1
582,2
583,2
584,1
585,2
586,2
587,2
588,2
589,2
590,1
591,1
592,1
593,2
594,2
595,1
596,2
597,1
598,1
599,1
600,2
601,2
602,1
603,1
604,2
605,1
606,2
607,1
608,1
609,2
610,1
611,2
612,1
613,1
614,2
615,2
616,1
617,2
618,2
619,1
620,1
621,2
622,2
623,2
624,1
625,1
626,1
627,2
628,1
629,2
630,2
631,2
632,1
633,1
634,2
635,2
636,2
637,2
638,2
639,2
640,1
641,1
642,1
643,1
644,1
645,1
646,2
647,2
648,2
649,1
650,1
651,1
652,2
653,2
654,1
655,1
656,2
657,1
658,1
659,1
660,2
661,2
662,1
663,2
664,1
665,2
666,1
667,1
668,2
669,1
670,2
671,2
672,2
673,1
674,1
675,2
676,1
677,1
678,2
679,1
680,1
681,1
682,2
683,1
684,1
685,2
686,1
687,1
688,2
689,1
690,1
691,1
692,2
693,1
694,2
695,2
696,2
697,2
698,2
699,2
700,2
701,1
702,1
703,1
704,2
705,2
706,2
707,2
708,1
709,1
710,2
711,1
712,1
713,1
714,1
715,2
716,2
717,1
718,2
719,2
720,1
721,2
722,2
723,1
724,1
725,2
726,2
727,2
728,2
729,2
730,1
731,1
732,2
733,1
734,2
735,1
736,2
737,2
738,1
739,1
740,1
741,2
742,2
743,2
744,1
745,2
746,1
747,1
748,1
749,2
750,2
751,1
752,1
753,2
754,1
755,1
756,1
757,2
758,2
759,2
760,1
761,1
762,1
763,1
764,2
765,1
766,1
767,2
768,1
769,2
770,1
771,1
772,2
773,1
774,2
775,1
776,1
777,2
778,2
779,1
780,1
781,1
782,1
783,2
784,1
785,2
786,1
787,1
788,2
789,2
790,1
791,1
792,2
793,1
794,2
795,1
796,2
797,1
798,2
799,2
800,1
801,2
802,1
803,1
804,2
805,2
806,2
807,2
808,1
809,2
810,1
811,2
812,2
